POC:	Eric Stoneking (NASA-GSFC), 301-286-8600		
50.72	1102.48	1122.48	20.00
50.73	1102.68	1122.68	20.00
50.74	1102.88	1122.88	20.00
50.75	1103.08	1123.08	20.00
50.76	1103.28	1123.28	20.00
50.77	1103.48	1123.48	20.00
50.78	1103.68	1123.68	20.00
50.79	1103.88	1123.88	20.00
50.80	1104.08	1124.08	20.00
50.81	1104.28	1124.28	20.00
50.82	1104.48	1124.48	20.00
50.83	1104.68	1124.68	20.00
50.84	1104.88	1124.88	20.00
50.85	1105.08	1125.08	20.00
50.86	1105.28	1125.28	20.00
50.87	1105.48	1125.48	20.00
50.88	1105.68	1125.68	20.00
50.89	1105.88	1125.88	20.00
50.90	1106.08	1126.08	20.00
50.91	1106.28	1126.28	20.00
50.92	1106.48	1126.48	20.00
50.93	1106.68	1126.68	20.00
50.94	1106.88	1126.88	20.00
50.95	1107.08	1127.08	20.00
50.96	1107.28	1127.28	20.00
50.97	1107.48	1127.48	20.00
50.98	1107.68	1127.68	20.00
50.99	1107.88	1127.88	20.00
51.00	1108.08	1128.08	20.00
51.01	1108.28	1128.28	20.00
51.02	1108.48	1128.48	20.00
51.03	1108.68	1128.68	20.00
51.04	1108.88	1128.88	20.00
51.05	1109.08	1129.08	20.00
51.06	1109.28	1129.28	20.00
51.07	1109.48	1129.48	20.00
51.08	1109.68	1129.68	20.00
51.09	1109.88	1129.88	20.00
51.10	1110.08	1130.08	20.00
51.11	1110.28	1130.28	20.00
51.12	1110.48	1130.48	20.00
51.13	1110.68	1130.68	20.00
51.14	1110.88	1130.88	20.00
51.15	1111.08	1131.08	20.00
51.16	1111.28	1131.28	20.00
51.17	1111.48	1131.48	20.00
51.18	1111.68	1131.68	20.00
51.19	1111.88	1131.88	20.00
51.20	1112.08	1132.08	20.00
51.21	1112.28	1132.28	20.00
51.22	1112.48	1132.48	20.00
51.23	1112.68	1132.68	20.00
51.24	1112.88	1132.88	20.00
51.25	1113.08	1133.08	20.00
51.26	1113.28	1133.28	20.00
51.27	1113.48	1133.48	20.00
51.28	1113.68	1133.68	20.00
51.29	1113.88	1133.88	20.00
51.30	1114.08	1134.08	20.00
51.31	1114.28	1134.28	20.00
51.32	1114.48	1134.48	20.00
51.33	1114.68	1134.68	20.00
51.34	1114.88	1134.88	20.00
51.35	1115.08	1135.08	20.00
51.36	1115.28	1135.28	20.00
51.37	1115.48	1135.48	20.00
51.38	1115.68	1135.68	20.00
51.39	1115.88	1135.88	20.00
51.40	1116.08	1136.08	20.00
51.41	1116.28	1136.28	20.00
51.42	1116.48	1136.48	20.00
51.43	1116.68	1136.68	20.00
51.44	1116.88	1136.88	20.00
51.45	1117.08	1137.08	20.00
51.46	1117.28	1137.28	20.00
51.47	1117.48	1137.48	20.00
51.48	1117.68	1137.68	20.00
51.49	1117.88	1137.88	20.00
51.50	1118.08	1138.08	20.00
51.51	1118.28	1138.28	20.00
51.52	1118.48	1138.48	20.00
51.53	1118.68	1138.68	20.00
51.54	1118.88	1138.88	20.00
51.55	1119.08	1139.08	20.00
51.56	1119.28	1139.28	20.00
51.57	1119.48	1139.48	20.00
51.58	1119.68	1139.68	20.00
51.59	1119.88	1139.88	20.00
51.60	1120.08	1140.08	20.00
51.61	1120.28	1140.28	20.00
51.62	1120.48	1140.48	20.00
51.63	1120.68	1140.68	20.00
51.64	1120.88	1140.88	20.00
51.65	1121.08	1141.08	20.00
51.66	1121.28	1141.28	20.00
51.67	1121.48	1141.48	20.00
51.68	1121.68	1141.68	20.00
51.69	1121.88	1141.88	20.00
51.70	1122.08	1142.08	20.00
51.71	1122.28	1142.28	20.00
51.72	1122.48	1142.48	20.00
51.73	1122.68	1142.68	20.00
51.74	1122.88	1142.88	20.00
51.75	1123.08	1143.08	20.00
51.76	1123.28	1143.28	20.00
51.77	1123.48	1143.48	20.00
51.78	1123.68	1143.68	20.00
51.79	1123.88	1143.88	20.00
51.80	1124.08	1144.08	20.00
51.81	1124.28	1144.28	20.00
51.82	1124.48	1144.48	20.00
51.83	1124.68	1144.68	20.00
51.84	1124.88	1144.88	20.00
51.85	1125.08	1145.08	20.00
51.86	1125.28	1145.28	20.00
51.87	1125.48	1145.48	20.00
51.88	1125.68	1145.68	20.00
51.89	1125.88	1145.88	20.00
51.90	1126.08	1146.08	20.00
51.91	1126.28	1146.28	20.00
51.92	1126.48	1146.48	20.00
51.93	1126.68	1146.68	20.00
51.94	1126.88	1146.88	20.00
51.95	1127.08	1147.08	20.00
51.96	1127.28	1147.28	20.00
51.97	1127.48	1147.48	20.00
51.98	1127.68	1147.68	20.00
51.99	1127.88	1147.88	20.00
52.00	1128.08	1148.08	20.00
52.01	1128.28	1148.28	20.00
52.02	1128.48	1148.48	20.00
52.03	1128.68	1148.68	20.00
52.04	1128.88	1148.88	20.00
52.05	1129.08	1149.08	20.00
52.06	1129.28	1149.28	20.00
52.07	1129.48	1149.48	20.00
52.08	1129.68	1149.68	20.00
52.09	1129.88	1149.88	20.00
52.10	1130.08	1150.08	20.00
52.11	1130.28	1150.28	20.00
52.12	1130.48	1150.48	20.00
52.13	1130.68	1150.68	20.00
52.14	1130.88	1150.88	20.00
52.15	1131.08	1151.08	20.00
52.16	1131.28	1151.28	20.00
52.17	1131.48	1151.48	20.00
52.18	1131.68	1151.68	20.00
52.19	1131.88	1151.88	20.00
52.20	1132.08	1152.08	20.00
52.21	1132.28	1152.28	20.00
52.22	1132.48	1152.48	20.00
52.23	1132.68	1152.68	20.00
52.24	1132.88	1152.88	20.00
52.25	1133.08	1153.08	20.00
52.26	1133.28	1153.28	20.00
52.27	1133.48	1153.48	20.00
52.28	1133.68	1153.68	20.00
52.29	1133.88	1153.88	20.00
52.30	1134.08	1154.08	20.00
52.31	1134.28	1154.28	20.00
52.32	1134.48	1154.48	20.00
52.33	1134.68	1154.68	20.00
52.34	1134.88	1154.88	20.00
52.35	1135.08	1155.08	20.00
52.36	1135.28	1155.28	20.00
52.37	1135.48	1155.48	20.00
52.38	1135.68	1155.68	20.00
52.39	1135.88	1155.88	20.00
52.40	1136.08	1156.08	20.00
52.41	1136.28	1156.28	20.00
52.42	1136.48	1156.48	20.00
52.43	1136.68	1156.68	20.00
52.44	1136.88	1156.88	20.00
52.45	1137.08	1157.08	20.00
52.46	1137.28	1157.28	20.00
52.47	1137.48	1157.48	20.00
52.48	1137.68	1157.68	20.00
52.49	1137.88	1157.88	20.00
52.50	1138.08	1158.08	20.00
52.51	1138.28	1158.28	20.00
52.52	1138.48	1158.48	20.00
52.53	1138.68	1158.68	20.00
52.54	1138.88	1158.88	20.00
52.55	1139.08	1159.08	20.00
52.56	1139.28	1159.28	20.00
52.57	1139.48	1159.48	20.00
52.58	1139.68	1159.68	20.00
52.59	1139.88	1159.88	20.00
52.60	1140.08	1160.08	20.00
52.61	1140.28	1160.28	20.00
52.62	1140.48	1160.48	20.00
52.63	1140.68	1160.68	20.00
52.64	1140.88	1160.88	20.00
52.65	1141.08	1161.08	20.00
52.66	1141.28	1161.28	20.00
52.67	1141.48	1161.48	20.00
52.68	1141.68	1161.68	20.00
52.69	1141.88	1161.88	20.00
52.70	1142.08	1162.08	20.00
52.71	1142.28	1162.28	20.00
52.72	1142.48	1162.48	20.00
52.73	1142.68	1162.68	20.00
52.74	1142.88	1162.88	20.00
52.75	1143.08	1163.08	20.00
52.76	1143.28	1163.28	20.00
52.77	1143.48	1163.48	20.00
52.78	1143.68	1163.68	20.00
52.79	1143.88	1163.88	20.00
52.80	1144.08	1164.08	20.00
52.81	1144.28	1164.28	20.00
52.82	1144.48	1164.48	20.00
52.83	1144.68	1164.68	20.00
52.84	1144.88	1164.88	20.00
52.85	1145.08	1165.08	20.00
52.86	1145.28	1165.28	20.00
52.87	1145.48	1165.48	20.00
52.88	1145.68	1165.68	20.00
52.89	1145.88	1165.88	20.00
52.90	1146.08	1166.08	20.00
52.91	1146.28	1166.28	20.00
52.92	1146.48	1166.48	20.00
52.93	1146.68	1166.68	20.00
52.94	1146.88	1166.88	20.00
52.95	1147.08	1167.08	20.00
52.96	1147.28	1167.28	20.00
52.97	1147.48	1167.48	20.00
52.98	1147.68	1167.68	20.00
52.99	1147.88	1167.88	20.00
53.00	1148.08	1168.08	20.00
53.01	1148.28	1168.28	20.00
53.02	1148.48	1168.48	20.00
53.03	1148.68	1168.68	20.00
53.04	1148.88	1168.88	20.00
53.05	1149.08	1169.08	20.00
53.06	1149.28	1169.28	20.00
53.07	1149.48	1169.48	20.00
53.08	1149.68	1169.68	20.00
53.09	1149.88	1169.88	20.00
53.10	1150.08	1170.08	20.00
53.11	1150.28	1170.28	20.00
53.12	1150.48	1170.48	20.00
53.13	1150.68	1170.68	20.00
53.14	1150.88	1170.88	20.00
53.15	1151.08	1171.08	20.00
53.16	1151.28	1171.28	20.00
53.17	1151.48	1171.48	20.00
53.18	1151.68	1171.68	20.00
53.19	1151.88	1171.88	20.00
53.20	1152.08	1172.08	20.00
53.21	1152.28	1172.28	20.00
53.22	1152.48	1172.48	20.00
53.23	1152.68	1172.68	20.00
53.24	1152.88	1172.88	20.00
53.25	1153.08	1173.08	20.00
53.26	1153.28	1173.28	20.00
53.27	1153.48	1173.48	20.00
53.28	1153.68	1173.68	20.00
53.29	1153.88	1173.88	20.00
53.30	1154.08	1174.08	20.00
53.31	1154.28	1174.28	20.00
53.32	1154.48	1174.48	20.00
53.33	1154.68	1174.68	20.00
53.34	1154.88	1174.88	20.00
53.35	1155.08	1175.08	20.00
53.36	1155.28	1175.28	20.00
53.37	1155.48	1175.48	20.00
53.38	1155.68	1175.68	20.00
53.39	1155.88	1175.88	20.00
53.40	1156.08	1176.08	20.00
53.41	1156.28	1176.28	20.00
53.42	1156.48	1176.48	20.00
53.43	1156.68	1176.68	20.00
53.44	1156.88	1176.88	20.00
53.45	1157.08	1177.08	20.00
53.46	1157.28	1177.28	20.00
53.47	1157.48	1177.48	20.00
53.48	1157.68	1177.68	20.00
53.49	1157.88	1177.88	20.00
53.50	1158.08	1178.08	20.00
53.51	1158.28	1178.28	20.00
53.52	1158.48	1178.48	20.00
53.53	1158.68	1178.68	20.00
53.54	1158.88	1178.88	20.00
53.55	1159.08	1179.08	20.00
53.56	1159.28	1179.28	20.00
53.57	1159.48	1179.48	20.00
53.58	1159.68	1179.68	20.00
53.59	1159.88	1179.88	20.00
53.60	1160.08	1180.08	20.00
53.61	1160.28	1180.28	20.00
53.62	1160.48	1180.48	20.00
53.63	1160.68	1180.68	20.00
53.64	1160.88	1180.88	20.00
53.65	1161.08	1181.08	20.00
53.66	1161.28	1181.28	20.00
53.67	1161.48	1181.48	20.00
53.68	1161.68	1181.68	20.00
53.69	1161.88	1181.88	20.00
53.70	1162.08	1182.08	20.00
53.71	1162.28	1182.28	20.00
53.72	1162.48	1182.48	20.00
53.73	1162.68	1182.68	20.00
53.74	1162.88	1182.88	20.00
53.75	1163.08	1183.08	20.00
53.76	1163.28	1183.28	20.00
53.77	1163.48	1183.48	20.00
53.78	1163.68	1183.68	20.00
53.79	1163.88	1183.88	20.00
53.80	1164.08	1184.08	20.00
53.81	1164.28	1184.28	20.00
53.82	1164.48	1184.48	20.00
53.83	1164.68	1184.68	20.00
53.84	1164.88	1184.88	20.00
53.85	1165.08	1185.08	20.00
53.86	1165.28	1185.28	20.00
53.87	1165.48	1185.48	20.00
53.88	1165.68	1185.68	20.00
53.89	1165.88	1185.88	20.00
53.90	1166.08	1186.08	20.00
53.91	1166.28	1186.28	20.00
53.92	1166.48	1186.48	20.00
53.93	1166.68	1186.68	20.00
53.94	1166.88	1186.88	20.00
53.95	1167.08	1187.08	20.00
53.96	1167.28	1187.28	20.00
53.97	1167.48	1187.48	20.00
53.98	1167.68	1187.68	20.00
53.99	1167.88	1187.88	20.00
54.00	1168.08	1188.08	20.00
54.01	1168.28	1188.28	20.00
54.02	1168.48	1188.48	20.00
54.03	1168.68	1188.68	20.00
54.04	1168.88	1188.88	20.00
54.05	1169.08	1189.08	20.00
54.06	1169.28	1189.28	20.00
54.07	1169.48	1189.48	20.00
54.08	1169.68	1189.68	20.00
54.09	1169.88	1189.88	20.00
54.10	1170.08	1190.08	20.00
54.11	1170.28	1190.28	20.00
54.12	1170.48	1190.48	20.00
54.13	1170.68	1190.68	20.00
54.14	1170.88	1190.88	20.00
54.15	1171.08	1191.08	20.00
54.16	1171.28	1191.28	20.00
54.17	1171.48	1191.48	20.00
54.18	1171.68	1191.68	20.00
54.19	1171.88	1191.88	20.00
54.20	1172.08	1192.08	20.00
54.21	1172.28	1192.28	20.00
54.22	1172.48	1192.48	20.00
54.23	1172.68	1192.68	20.00
54.24	1172.88	1192.88	20.00
54.25	1173.08	1193.08	20.00
54.26	1173.28	1193.28	20.00
54.27	1173.48	1193.48	20.00
54.28	1173.68	1193.68	20.00
54.29	1173.88	1193.88	20.00
54.30	1174.08	1194.08	20.00
54.31	1174.28	1194.28	20.00
54.32	1174.48	1194.48	20.00
54.33	1174.68	1194.68	20.00
54.34	1174.88	1194.88	20.00
54.35	1175.08	1195.08	20.00
54.36	1175.28	1195.28	20.00
54.37	1175.48	1195.48	20.00
54.38	1175.68	1195.68	20.00
54.39	1175.88	1195.88	20.00
54.40	1176.08	1196.08	20.00
54.41	1176.28	1196.28	20.00
54.42	1176.48	1196.48	20.00
54.43	1176.68	1196.68	20.00
54.44	1176.88	1196.88	20.00
54.45	1177.08	1197.08	20.00
54.46	1177.28	1197.28	20.00
54.47	1177.48	1197.48	20.00
54.48	1177.68	1197.68	20.00
54.49	1177.88	1197.88	20.00
54.50	1178.08	1198.08	20.00
54.51	1178.28	1198.28	20.00
54.52	1178.48	1198.48	20.00
54.53	1178.68	1198.68	20.00
54.54	1178.88	1198.88	20.00
54.55	1179.08	1199.08	20.00
54.56	1179.28	1199.28	20.00
54.57	1179.48	1199.48	20.00
54.58	1179.68	1199.68	20.00
54.59	1179.88	1199.88	20.00
54.60	1180.08	1200.08	20.00
54.61	1180.28	1200.28	20.00
54.62	1180.48	1200.48	20.00
54.63	1180.68	1200.68	20.00
54.64	1180.88	1200.88	20.00
54.65	1181.08	1201.08	20.00
54.66	1181.28	1201.28	20.00
54.67	1181.48	1201.48	20.00
54.68	1181.68	1201.68	20.00
54.69	1181.88	1201.88	20.00
54.70	1182.08	1202.08	20.00
54.71	1182.28	1202.28	20.00
54.72	1182.48	1202.48	20.00
54.73	1182.68	1202.68	20.00
54.74	1182.88	1202.88	20.00
54.75	1183.08	1203.08	20.00
54.76	1183.28	1203.28	20.00
54.77	1183.48	1203.48	20.00
54.78	1183.68	1203.68	20.00
54.79	1183.88	1203.88	20.00
54.80	1184.08	1204.08	20.00
54.81	1184.28	1204.28	20.00
54.82	1184.48	1204.48	20.00
54.83	1184.68	1204.68	20.00
54.84	1184.88	1204.88	20.00
54.85	1185.08	1205.08	20.00
54.86	1185.28	1205.28	20.00
54.87	1185.48	1205.48	20.00
54.88	1185.68	1205.68	20.00
54.89	1185.88	1205.88	20.00
54.90	1186.08	1206.08	20.00
54.91	1186.28	1206.28	20.00
54.92	1186.48	1206.48	20.00
54.93	1186.68	1206.68	20.00
54.94	1186.88	1206.88	20.00
54.95	1187.08	1207.08	20.00
54.96	1187.28	1207.28	20.00
54.97	1187.48	1207.48	20.00
54.98	1187.68	1207.68	20.00
54.99	1187.88	1207.88	20.00
55.00	1188.08	1208.08	20.00
55.01	1188.28	1208.28	20.00
55.02	1188.48	1208.48	20.00
55.03	1188.68	1208.68	20.00
55.04	1188.88	1208.88	20.00
55.05	1189.08	1209.08	20.00
55.06	1189.28	1209.28	20.00
55.07	1189.48	1209.48	20.00
55.08	1189.68	1209.68	20.00
55.09	1189.88	1209.88	20.00
55.10	1190.08	1210.08	20.00
55.11	1190.28	1210.28	20.00
55.12	1190.48	1210.48	20.00
55.13	1190.68	1210.68	20.00
55.14	1190.88	1210.88	20.00
55.15	1191.08	1211.08	20.00
55.16	1191.28	1211.28	20.00
55.17	1191.48	1211.48	20.00
55.18	1191.68	1211.68	20.00
55.19	1191.88	1211.88	20.00
55.20	1192.08	1212.08	20.00
55.21	1192.28	1212.28	20.00
55.22	1192.48	1212.48	20.00
55.23	1192.68	1212.68	20.00
55.24	1192.88	1212.88	20.00
55.25	1193.08	1213.08	20.00
55.26	1193.28	1213.28	20.00
55.27	1193.48	1213.48	20.00
55.28	1193.68	1213.68	20.00
55.29	1193.88	1213.88	20.00
55.30	1194.08	1214.08	20.00
55.31	1194.28	1214.28	20.00
55.32	1194.48	1214.48	20.00
55.33	1194.68	1214.68	20.00
55.34	1194.88	1214.88	20.00
55.35	1195.08	1215.08	20.00
55.36	1195.28	1215.28	20.00
55.37	1195.48	1215.48	20.00
55.38	1195.68	1215.68	20.00
55.39	1195.88	1215.88	20.00
55.40	1196.08	1216.08	20.00
55.41	1196.28	1216.28	20.00
55.42	1196.48	1216.48	20.00
55.43	1196.68	1216.68	20.00
55.44	1196.88	1216.88	20.00
55.45	1197.08	1217.08	20.00
55.46	1197.28	1217.28	20.00
55.47	1197.48	1217.48	20.00
55.48	1197.68	1217.68	20.00
55.49	1197.88	1217.88	20.00
55.50	1198.08	1218.08	20.00
55.51	1198.28	1218.28	20.00
55.52	1198.48	1218.48	20.00
55.53	1198.68	1218.68	20.00
55.54	1198.88	1218.88	20.00
55.55	1199.08	1219.08	20.00
55.56	1199.28	1219.28	20.00
55.57	1199.48	1219.48	20.00
55.58	1199.68	1219.68	20.00
55.59	1199.88	1219.88	20.00
55.60	1200.08	1220.08	20.00
55.61	1200.28	1220.28	20.00
55.62	1200.48	1220.48	20.00
55.63	1200.68	1220.68	20.00
55.64	1200.88	1220.88	20.00
55.65	1201.08	1221.08	20.00
55.66	1201.28	1221.28	20.00
55.67	1201.48	1221.48	20.00
55.68	1201.68	1221.68	20.00
55.69	1201.88	1221.88	20.00
55.70	1202.08	1222.08	20.00
55.71	1202.28	1222.28	20.00
55.72	1202.48	1222.48	20.00
55.73	1202.68	1222.68	20.00
55.74	1202.88	1222.88	20.00
55.75	1203.08	1223.08	20.00
55.76	1203.28	1223.28	20.00
55.77	1203.48	1223.48	20.00
55.78	1203.68	1223.68	20.00
55.79	1203.88	1223.88	20.00
55.80	1204.08	1224.08	20.00
55.81	1204.28	1224.28	20.00
55.82	1204.48	1224.48	20.00
55.83	1204.68	1224.68	20.00
55.84	1204.88	1224.88	20.00
55.85	1205.08	1225.08	20.00
55.86	1205.28	1225.28	20.00
55.87	1205.48	1225.48	20.00
55.88	1205.68	1225.68	20.00
55.89	1205.88	1225.88	20.00
55.90	1206.08	1226.08	20.00
55.91	1206.28	1226.28	20.00
55.92	1206.48	1226.48	20.00
55.93	1206.68	1226.68	20.00
55.94	1206.88	1226.88	20.00
55.95	1207.08	1227.08	20.00
55.96	1207.28	1227.28	20.00
55.97	1207.48	1227.48	20.00
55.98	1207.68	1227.68	20.00
55.99	1207.88	1227.88	20.00
56.00	1208.08	1228.08	20.00
56.01	1208.28	1228.28	20.00
56.02	1208.48	1228.48	20.00
56.03	1208.68	1228.68	20.00
56.04	1208.88	1228.88	20.00
56.05	1209.08	1229.08	20.00
56.06	1209.28	1229.28	20.00
56.07	1209.48	1229.48	20.00
56.08	1209.68	1229.68	20.00
56.09	1209.88	1229.88	20.00
56.10	1210.08	1230.08	20.00
56.11	1210.28	1230.28	20.00
56.12	1210.48	1230.48	20.00
56.13	1210.68	1230.68	20.00
56.14	1210.88	1230.88	20.00
56.15	1211.08	1231.08	20.00
56.16	1211.28	1231.28	20.00
56.17	1211.48	1231.48	20.00
56.18	1211.68	1231.68	20.00
56.19	1211.88	1231.88	20.00
56.20	1212.08	1232.08	20.00
56.21	1212.28	1232.28	20.00
56.22	1212.48	1232.48	20.00
56.23	1212.68	1232.68	20.00
56.24	1212.88	1232.88	20.00
56.25	1213.08	1233.08	20.00
56.26	1213.28	1233.28	20.00
56.27	1213.48	1233.48	20.00
56.28	1213.68	1233.68	20.00
56.29	1213.88	1233.88	20.00
56.30	1214.08	1234.08	20.00
56.31	1214.28	1234.28	20.00
56.32	1214.48	1234.48	20.00
56.33	1214.68	1234.68	20.00
56.34	1214.88	1234.88	20.00
56.35	1215.08	1235.08	20.00
56.36	1215.28	1235.28	20.00
56.37	1215.48	1235.48	20.00
56.38	1215.68	1235.68	20.00
56.39	1215.88	1235.88	20.00
56.40	1216.08	1236.08	20.00
56.41	1216.28	1236.28	20.00
56.42	1216.48	1236.48	20.00
56.43	1216.68	1236.68	20.00
56.44	1216.88	1236.88	20.00
56.45	1217.08	1237.08	20.00
56.46	1217.28	1237.28	20.00
56.47	1217.48	1237.48	20.00
56.48	1217.68	1237.68	20.00
56.49	1217.88	1237.88	20.00
56.50	1218.08	1238.08	20.00
56.51	1218.28	1238.28	20.00
56.52	1218.48	1238.48	20.00
56.53	1218.68	1238.68	20.00
56.54	1218.88	1238.88	20.00
56.55	1219.08	1239.08	20.00
56.56	1219.28	1239.28	20.00
56.57	1219.48	1239.48	20.00
56.58	1219.68	1239.68	20.00
56.59	1219.88	1239.88	20.00
56.60	1220.08	1240.08	20.00
56.61	1220.28	1240.28	20.00
56.62	1220.48	1240.48	20.00
56.63	1220.68	1240.68	20.00
56.64	1220.88	1240.88	20.00
56.65	1221.08	1241.08	20.00
56.66	1221.28	1241.28	20.00
56.67	1221.48	1241.48	20.00
56.68	1221.68	1241.68	20.00
56.69	1221.88	1241.88	20.00
56.70	1222.08	1242.08	20.00
56.71	1222.28	1242.28	20.00
56.72	1222.48	1242.48	20.00
56.73	1222.68	1242.68	20.00
56.74	1222.88	1242.88	20.00
56.75	1223.08	1243.08	20.00
56.76	1223.28	1243.28	20.00
56.77	1223.48	1243.48	20.00
56.78	1223.68	1243.68	20.00
56.79	1223.88	1243.88	20.00
56.80	1224.08	1244.08	20.00
56.81	1224.28	1244.28	20.00
56.82	1224.48	1244.48	20.00
56.83	1224.68	1244.68	20.00
56.84	1224.88	1244.88	20.00
56.85	1225.08	1245.08	20.00
56.86	1225.28	1245.28	20.00
56.87	1225.48	1245.48	20.00
56.88	1225.68	1245.68	20.00
56.89	1225.88	1245.88	20.00
56.90	1226.08	1246.08	20.00
56.91	1226.28	1246.28	20.00
56.92	1226.48	1246.48	20.00
56.93	1226.68	1246.68	20.00
56.94	1226.88	1246.88	20.00
56.95	1227.08	1247.08	20.00
56.96	1227.28	1247.28	20.00
56.97	1227.48	1247.48	20.00
56.98	1227.68	1247.68	20.00
56.99	1227.88	1247.88	20.00
57.00	1228.08	1248.08	20.00
57.01	1228.28	1248.28	20.00
57.02	1228.48	1248.48	20.00
57.03	1228.68	1248.68	20.00
57.04	1228.88	1248.88	20.00
57.05	1229.08	1249.08	20.00
57.06	1229.28	1249.28	20.00
57.07	1229.48	1249.48	20.00
57.08	1229.68	1249.68	20.00
57.09	1229.88	1249.88	20.00
57.10	1230.08	1250.08	20.00
57.11	1230.28	1250.28	20.00
57.12	1230.48	1250.48	20.00
57.13	1230.68	1250.68	20.00
57.14	1230.88	1250.88	20.00
57.15	1231.08	1251.08	20.00
57.16	1231.28	1251.28	20.00
57.17	1231.48	1251.48	20.00
57.18	1231.68	1251.68	20.00
57.19	1231.88	1251.88	20.00
57.20	1232.08	1252.08	20.00
57.21	1232.28	1252.28	20.00
57.22	1232.48	1252.48	20.00
57.23	1232.68	1252.68	20.00
57.24	1232.88	1252.88	20.00
57.25	1233.08	1253.08	20.00
57.26	1233.28	1253.28	20.00
57.27	1233.48	1253.48	20.00
57.28	1233.68	1253.68	20.00
57.29	1233.88	1253.88	20.00
57.30	1234.08	1254.08	20.00
57.31	1234.28	1254.28	20.00
57.32	1234.48	1254.48	20.00
57.33	1234.68	1254.68	20.00
57.34	1234.88	1254.88	20.00
57.35	1235.08	1255.08	20.00
57.36	1235.28	1255.28	20.00
57.37	1235.48	1255.48	20.00
57.38	1235.68	1255.68	20.00
57.39	1235.88	1255.88	20.00
57.40	1236.08	1256.08	20.00
57.41	1236.28	1256.28	20.00
57.42	1236.48	1256.48	20.00
57.43	1236.68	1256.68	20.00
57.44	1236.88	1256.88	20.00
57.45	1237.08	1257.08	20.00
57.46	1237.28	1257.28	20.00
57.47	1237.48	1257.48	20.00
57.48	1237.68	1257.68	20.00
57.49	1237.88	1257.88	20.00
57.50	1238.08	1258.08	20.00
57.51	1238.28	1258.28	20.00
57.52	1238.48	1258.48	20.00
57.53	1238.68	1258.68	20.00
57.54	1238.88	1258.88	20.00
57.55	1239.08	1259.08	20.00
57.56	1239.28	1259.28	20.00
57.57	1239.48	1259.48	20.00
57.58	1239.68	1259.68	20.00
57.59	1239.88	1259.88	20.00
57.60	1240.08	1260.08	20.00
57.61	1240.28	1260.28	20.00
57.62	1240.48	1260.48	20.00
57.63	1240.68	1260.68	20.00
57.64	1240.88	1260.88	20.00
57.65	1241.08	1261.08	20.00
57.66	1241.28	1261.28	20.00
57.67	1241.48	1261.48	20.00
57.68	1241.68	1261.68	20.00
57.69	1241.88	1261.88	20.00
57.70	1242.08	1262.08	20.00
57.71	1242.28	1262.28	20.00
57.72	1242.48	1262.48	20.00
57.73	1242.68	1262.68	20.00
57.74	1242.88	1262.88	20.00
57.75	1243.08	1263.08	20.00
57.76	1243.28	1263.28	20.00
57.77	1243.48	1263.48	20.00
57.78	1243.68	1263.68	20.00
57.79	1243.88	1263.88	20.00
57.80	1244.08	1264.08	20.00
57.81	1244.28	1264.28	20.00
57.82	1244.48	1264.48	20.00
57.83	1244.68	1264.68	20.00
57.84	1244.88	1264.88	20.00
57.85	1245.08	1265.08	20.00
57.86	1245.28	1265.28	20.00
57.87	1245.48	1265.48	20.00
57.88	1245.68	1265.68	20.00
57.89	1245.88	1265.88	20.00
57.90	1246.08	1266.08	20.00
57.91	1246.28	1266.28	20.00
57.92	1246.48	1266.48	20.00
57.93	1246.68	1266.68	20.00
57.94	1246.88	1266.88	20.00
57.95	1247.08	1267.08	20.00
57.96	1247.28	1267.28	20.00
57.97	1247.48	1267.48	20.00
57.98	1247.68	1267.68	20.00
57.99	1247.88	1267.88	20.00
58.00	1248.08	1268.08	20.00
58.01	1248.28	1268.28	20.00
58.02	1248.48	1268.48	20.00
58.03	1248.68	1268.68	20.00
58.04	1248.88	1268.88	20.00
58.05	1249.08	1269.08	20.00
58.06	1249.28	1269.28	20.00
58.07	1249.48	1269.48	20.00
58.08	1249.68	1269.68	20.00
58.09	1249.88	1269.88	20.00
58.10	1250.08	1270.08	20.00
58.11	1250.28	1270.28	20.00
58.12	1250.48	1270.48	20.00
58.13	1250.68	1270.68	20.00
58.14	1250.88	1270.88	20.00
58.15	1251.08	1271.08	20.00
58.16	1251.28	1271.28	20.00
58.17	1251.48	1271.48	20.00
58.18	1251.68	1271.68	20.00
58.19	1251.88	1271.88	20.00
58.20	1252.08	1272.08	20.00
58.21	1252.28	1272.28	20.00
58.22	1252.48	1272.48	20.00
58.23	1252.68	1272.68	20.00
58.24	1252.88	1272.88	20.00
58.25	1253.08	1273.08	20.00
58.26	1253.28	1273.28	20.00
58.27	1253.48	1273.48	20.00
58.28	1253.68	1273.68	20.00
58.29	1253.88	1273.88	20.00
58.30	1254.08	1274.08	20.00
58.31	1254.28	1274.28	20.00
58.32	1254.48	1274.48	20.00
58.33	1254.68	1274.68	20.00
58.34	1254.88	1274.88	20.00
58.35	1255.08	1275.08	20.00
58.36	1255.28	1275.28	20.00
58.37	1255.48	1275.48	20.00
58.38	1255.68	1275.68	20.00
58.39	1255.88	1275.88	20.00
58.40	1256.08	1276.08	20.00
58.41	1256.28	1276.28	20.00
58.42	1256.48	1276.48	20.00
58.43	1256.68	1276.68	20.00
58.44	1256.88	1276.88	20.00
58.45	1257.08	1277.08	20.00
58.46	1257.28	1277.28	20.00
58.47	1257.48	1277.48	20.00
